GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller,11,119,2,16,3,26,2,15,0,8
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base,93,140,9,5,21,39,17,20,10,20
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.IRSHasItemTypes,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base,190,331,24,16,33,83,32,45,12,45
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.DO_State,0,54,0,0,0,15,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,Invoice_Base.BuyerHasInvoices,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base,137,184,12,6,32,50,26,25,17,25
tax,pt.ulisboa.tecnico.softeng.tax.domain,Buyer_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,Buyer_Base,54,52,3,1,15,17,10,9,8,9
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.DO_State,0,18,0,0,0,6,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,Buyer_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,Buyer,15,119,4,14,4,25,4,13,0,8
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller_Base.SellerHasInvoices,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS,7,170,2,24,2,44,2,22,0,11
tax,pt.ulisboa.tecnico.softeng.tax.domain,Seller_Base.DO_State,0,10,0,0,0,4,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType,0,61,0,10,0,19,0,8,0,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,TaxPayer,21,46,0,14,7,14,1,10,1,3
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.DO_State,0,22,0,0,0,7,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,Buyer_Base.DO_State,0,10,0,0,0,4,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.domain,ItemType_Base.ItemTypeHasInvoices,0,7,0,0,0,1,0,1,0,1
tax,pt.ulisboa.tecnico.softeng.tax.domain,IRS_Base.IRSHasInvoices,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,ValueTypeSerializer,77,12,22,2,11,2,23,2,11,2
tax,pt.ist.fenixframework,DomainRoot_Base.DomainRootDomainFenixFrameworkRoot,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectAbstractDomainObject,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},19,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaObject_Base.DO_State,18,0,0,0,6,0,2,0,2,0
tax,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainBPlusTreeData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassDeclaredConsistencyPredicates,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
tax,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainMetaObject_Base,232,31,16,0,58,9,40,1,32,1
tax,pt.ist.fenixframework,DomainMetaClass_Base,349,43,28,0,80,12,56,2,42,2
tax,pt.ist.fenixframework,DomainRoot_Base,67,107,8,4,20,24,15,12,10,11
tax,pt.ist.fenixframework,DomainMetaObject_Base.DomainMetaObjectsDomainMetaClass,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainBPlusTreeData_Base.DO_State,18,0,0,0,6,0,2,0,2,0
tax,pt.ist.fenixframework,DomainRoot_Base.DO_State,0,22,0,0,0,7,0,2,0,2
tax,pt.ist.fenixframework,DomainMetaClass_Base.DomainFenixFrameworkRootDomainMetaClasses,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaSuperclassDomainMetaSubclasses,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.DO_State,30,0,0,0,9,0,2,0,2,0
tax,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base,79,5,4,0,24,1,14,1,12,1
tax,pt.ist.fenixframework,DomainBPlusTreeJVSTM_Base.DO_State,14,0,0,0,5,0,2,0,2,0
tax,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base,110,35,8,0,29,10,19,6,15,6
tax,pt.ist.fenixframework,DomainBPlusTreeData_Base,108,8,4,0,30,3,18,1,16,1
tax,pt.ist.fenixframework,DomainMetaClass_Base.DomainMetaClassExistingDomainMetaObjects,0,7,0,0,0,1,0,1,0,1
