GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.ActivityProviderHasProcessor,0,7,0,0,0,1,0,1,0,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base,49,106,6,4,11,32,11,16,6,16
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.ProcessorManagesActivityBookings,0,7,0,0,0,1,0,1,0,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityOffer_Base.ActivityHasActivityOffers,0,7,0,0,0,1,0,1,0,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,Activity,2,155,1,29,1,34,1,20,0,6
activity,pt.ulisboa.tecnico.softeng.activity.domain,Activity_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,Activity_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
activity,pt.ulisboa.tecnico.softeng.activity.domain,Activity_Base.new RoleMany() {...},2,6,0,0,1,2,1,2,1,2
activity,pt.ulisboa.tecnico.softeng.activity.domain,Booking_Base.new RoleOne() {...},0,19,0,0,0,5,0,4,0,4
activity,pt.ulisboa.tecnico.softeng.activity.domain,Booking_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor,0,149,0,14,0,43,0,11,0,4
activity,pt.ulisboa.tecnico.softeng.activity.domain,Processor_Base.DO_State,0,14,0,0,0,5,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider_Base.DO_State,0,38,0,0,0,11,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider,36,217,11,33,7,47,9,24,2,9
activity,pt.ulisboa.tecnico.softeng.activity.domain,Booking,0,143,5,13,0,32,5,10,0,6
activity,pt.ulisboa.tecnico.softeng.activity.domain,Activity_Base.DO_State,0,34,0,0,0,10,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityOffer,7,178,2,36,2,41,2,27,0,10
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityOffer_Base.DO_State,0,30,0,0,0,9,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider_Base.new KeyFunction() {...},5,3,0,0,0,1,2,1,2,1
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider_Base.new RoleOne() {...},2,17,0,0,1,4,1,3,1,3
activity,pt.ulisboa.tecnico.softeng.activity.domain,ActivityProvider_Base.new RoleMany() {...},0,8,0,0,0,3,0,3,0,3
activity,pt.ulisboa.tecnico.softeng.activity.services.remote,ActivityRestController,90,0,0,0,16,0,5,0,5,0
activity,pt.ulisboa.tecnico.softeng.activity.services.remote,BankInterface,67,100,0,0,12,18,1,3,1,3
activity,pt.ulisboa.tecnico.softeng.activity.services.remote,TaxInterface,176,6,0,0,28,2,3,1,3,1
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.getActivityOfferDataByExternalId,10,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.createProvider,11,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.deleteActivityProviders,6,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.getProviders,5,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface,138,153,4,6,12,10,21,7,18,5
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.createActivity,16,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.getActivityDataByCode,15,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.cancelReservation,4,6,0,0,0,0,1,1,1,1
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.reserveActivity.new Callable() {...},16,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.reserveActivity,0,10,0,0,0,0,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.getProviderDataByCode,10,0,0,0,0,0,2,0,2,0
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.getActivityReservationData,0,10,0,0,0,0,0,2,0,2
activity,pt.ulisboa.tecnico.softeng.activity.services.local,ActivityInterface.callable.createOffer,21,0,0,0,0,0,2,0,2,0
activity,pt.ist.fenixframework,ValueTypeSerializer,77,12,22,2,11,2,23,2,11,2
activity,pt.ist.fenixframework,DomainRoot_Base.DomainRootDomainFenixFrameworkRoot,0,7,0,0,0,1,0,1,0,1
activity,pt.ist.fenixframework,DomainFenixFrameworkRoot_Base.DO_State,14,0,0,0,5,0,2,0,2,0
